Name,Multiples_used,Tot_cap
Liter 663228,20,13000.0
Liter 421430,7,1470.0
Liter 702930,2,1400.0
Liter 123030,1,1400.0
Liter 653030,2,1340.0
Liter 453026,3,1320.0
Liter 653029,2,1300.0
Liter 442730,3,1290.0
Liter 272828,5,1250.0
Liter 353030,4,1200.0
Liter 352828,4,1200.0
Liter 332830,4,1200.0
Liter 452827,3,1200.0
Liter 643030,2,1200.0
Liter 623030,2,1200.0
Liter 603030,2,1200.0
Liter 701215,8,1200.0
Liter 132630,1,1200.0
Liter 421214,14,1190.0
Liter 632830,2,1160.0
Liter 613030,2,1160.0
Liter 462527,3,1140.0
Liter 203030,7,1120.0
Liter 202830,7,1120.0
Liter 352830,4,1080.0
Liter 342428,4,1080.0
Liter 453030,3,1080.0
Liter 423030,3,1080.0
Liter 501430,6,1080.0
Liter 621013,12,1080.0
Liter 701530,4,1080.0
Liter 402827,3,1050.0
Liter 602730,2,1040.0
Liter 362630,3,1020.0
Liter 343030,4,1000.0
Liter 302630,4,1000.0
Liter 301226,10,1000.0
Liter 552730,2,1000.0
Liter 522826,2,1000.0
Liter 503028,2,1000.0
Liter 502828,2,1000.0
Liter 652530,2,1000.0
Liter 622530,2,1000.0
Liter 612528,2,1000.0
Liter 603027,2,1000.0
Liter 601430,5,1000.0
Liter 601428,5,1000.0
Liter 601325,5,1000.0
Liter 702530,2,1000.0
Liter 141330,2,1000.0
Liter 122730,1,1000.0
Liter 113030,1,1000.0
Liter 432827,3,990.0
Liter 501014,18,990.0
Liter 602629,2,990.0
Liter 401430,7,980.0
Liter 322730,4,960.0
Liter 451528,6,960.0
Liter 403030,3,960.0
Liter 652728,2,960.0
Liter 652626,2,960.0
Liter 622727,2,960.0
Liter 131330,2,960.0
Liter 103030,1,950.0
Liter 442630,3,945.0
Liter 553030,2,940.0
Liter 452728,3,930.0
Liter 352730,4,920.0
Liter 602830,2,920.0
Liter 602725,2,920.0
Liter 401429,7,910.0
Liter 201214,30,900.0
Liter 101414,60,900.0
Liter 350929,12,900.0
Liter 301324,10,900.0
Liter 462622,3,900.0
Liter 452628,3,900.0
Liter 452530,3,900.0
Liter 452428,3,900.0
Liter 451525,6,900.0
Liter 451430,6,900.0
Liter 451030,9,900.0
Liter 450930,9,900.0
Liter 402726,3,900.0
Liter 401529,6,900.0
Liter 521430,5,900.0
Liter 503030,2,900.0
Liter 501429,6,900.0
Liter 501428,6,900.0
Liter 501227,6,900.0
Liter 501013,18,900.0
Liter 632730,2,900.0
Liter 601230,5,900.0
Liter 702526,2,900.0
Liter 701028,6,900.0
Liter 701025,6,900.0
Liter 332730,4,880.0
Liter 331530,8,880.0
Liter 532626,2,880.0
Liter 651430,4,880.0
Liter 701430,4,880.0
Liter 531430,5,875.0
Liter 432625,3,870.0
Liter 501230,6,870.0
Liter 773030,1,850.0
Liter 103028,1,850.0
Liter 102528,1,850.0
Liter 972829,1,850.0
Liter 112529,1,850.0
Liter 201030,21,840.0
Liter 201015,42,840.0
Liter 351030,12,840.0
Liter 331030,12,840.0
Liter 330930,12,840.0
Liter 303030,4,840.0
Liter 302830,4,840.0
Liter 401428,7,840.0
Liter 532727,2,840.0
Liter 501214,12,840.0
Liter 602828,2,840.0
Liter 702626,2,840.0
Liter 701525,4,840.0
Liter 321229,9,810.0
Liter 441030,9,810.0
Liter 441028,9,810.0
Liter 431027,9,810.0
Liter 402530,3,810.0
Liter 401030,9,810.0
Liter 400930,9,810.0
Liter 401323,7,805.0
Liter 291430,10,800.0
Liter 282730,5,800.0
Liter 251530,10,800.0
Liter 361222,8,800.0
Liter 352530,4,800.0
Liter 351525,8,800.0
Liter 342530,4,800.0
Liter 342430,4,800.0
Liter 323030,4,800.0
Liter 322724,4,800.0
Liter 322424,4,800.0
Liter 301224,10,800.0
Liter 301415,20,800.0
Liter 552530,2,800.0
Liter 552528,2,800.0
Liter 551530,4,800.0
Liter 551415,10,800.0
Liter 543026,2,800.0
Liter 542630,2,800.0
Liter 541415,10,800.0
Liter 522025,2,800.0
Liter 521330,5,800.0
Liter 512724,2,800.0
Liter 502730,2,800.0
Liter 502528,2,800.0
Liter 501530,4,800.0
Liter 501522,4,800.0
Liter 652524,2,800.0
Liter 652425,2,800.0
Liter 651523,4,800.0
Liter 651520,4,800.0
Liter 622930,2,800.0
Liter 602626,2,800.0
Liter 602625,2,800.0
Liter 602624,2,800.0
Liter 602530,2,800.0
Liter 602528,2,800.0
Liter 602428,2,800.0
Liter 702529,2,800.0
Liter 702226,2,800.0
Liter 701425,4,800.0
Liter 701327,4,800.0
Liter 902728,1,800.0
Liter 902330,1,800.0
Liter 801525,2,800.0
Liter 452226,3,795.0
Liter 251330,12,780.0
Liter 251328,12,780.0
Liter 211528,12,780.0
Liter 452224,3,780.0
Liter 451230,6,780.0
Liter 422326,3,780.0
Liter 402824,3,780.0
Liter 402226,3,780.0
Liter 501328,6,780.0
Liter 501130,6,780.0
Liter 701024,6,780.0
Liter 421130,7,770.0
Liter 401228,7,770.0
Liter 321325,9,765.0
Liter 321324,9,765.0
Liter 401029,9,765.0
Liter 312326,4,760.0
Liter 302428,4,760.0
Liter 302426,4,760.0
Liter 301530,8,760.0
Liter 502830,2,760.0
Liter 502728,2,760.0
Liter 652528,2,760.0
Liter 642527,2,760.0
Liter 702727,2,760.0
Liter 702030,2,760.0
Liter 270829,15,750.0
Liter 251524,10,750.0
Liter 301422,10,750.0
Liter 422227,3,750.0
Liter 422025,3,750.0
Liter 402826,3,750.0
Liter 402528,3,750.0
Liter 402228,3,750.0
Liter 551230,5,750.0
Liter 551228,5,750.0
Liter 551014,15,750.0
Liter 551012,15,750.0
Liter 541014,15,750.0
Liter 601130,5,750.0
Liter 902830,1,750.0
Liter 901425,3,750.0
Liter 892830,1,750.0
Liter 101425,3,750.0
Liter 972830,1,750.0
Liter 962830,1,750.0
Liter 962730,1,750.0
Liter 922829,1,750.0
Liter 112330,1,750.0
Liter 112328,1,750.0
Liter 401515,12,744.0
Liter 662028,2,740.0
Liter 602826,2,740.0
Liter 752728,1,730.0
Liter 923030,1,730.0
Liter 362227,3,720.0
Liter 361422,8,720.0
Liter 351422,8,720.0
Liter 351330,8,720.0
Liter 351327,8,720.0
Liter 351028,12,720.0
Liter 351024,12,720.0
Liter 350926,12,720.0
Liter 350830,12,720.0
Liter 350829,12,720.0
Liter 341422,8,720.0
Liter 341328,8,720.0
Liter 332430,4,720.0
Liter 332224,4,720.0
Liter 332030,4,720.0
Liter 321323,9,720.0
Liter 321027,12,720.0
Liter 302628,4,720.0
Liter 302530,4,720.0
Liter 302529,4,720.0
Liter 302528,4,720.0
Liter 302430,4,720.0
Liter 301030,12,720.0
Liter 301028,12,720.0
Liter 301025,12,720.0
Liter 451524,6,720.0
Liter 450829,9,720.0
Liter 451515,12,720.0
Liter 451015,18,720.0
Liter 441422,6,720.0
Liter 431230,6,720.0
Liter 431415,12,720.0
Liter 401525,6,720.0
Liter 401523,6,720.0
Liter 401015,18,720.0
Liter 502725,2,720.0
Liter 501030,6,720.0
Liter 501315,12,720.0
Liter 501110,18,720.0
Liter 651024,6,720.0
Liter 601528,4,720.0
Liter 601525,4,720.0
Liter 601015,12,720.0
Liter 701218,4,720.0
Liter 701023,6,720.0
Liter 852927,1,720.0
Liter 952830,1,720.0
Liter 291126,10,700.0
Liter 281228,10,700.0
Liter 263028,5,700.0
Liter 352522,4,700.0
Liter 322826,4,700.0
Liter 421225,7,700.0
Liter 401425,7,700.0
Liter 401230,7,700.0
Liter 401315,14,700.0
Liter 401314,14,700.0
Liter 531229,5,700.0
Liter 522824,2,700.0
Liter 522530,2,700.0
Liter 502825,2,700.0
Liter 501528,4,700.0
Liter 652526,2,700.0
Liter 652330,2,700.0
Liter 652030,2,700.0
Liter 601323,5,700.0
Liter 702028,2,700.0
Liter 903030,1,700.0
Liter 853030,1,700.0
Liter 102730,1,700.0
Liter 102530,1,700.0
Liter 952728,1,700.0
Liter 112528,1,700.0
Liter 452526,3,690.0
Liter 451830,3,690.0
Liter 531030,6,690.0
Liter 350925,12,684.0
Liter 351425,8,680.0
Liter 351125,8,680.0
Liter 621230,4,680.0
Liter 400928,9,675.0
Liter 400830,9,675.0
Liter 251314,24,672.0
Liter 902730,1,670.0
Liter 112426,1,670.0
Liter 401423,7,665.0
Liter 271015,30,660.0
Liter 350923,12,660.0
Liter 452225,3,660.0
Liter 452030,3,660.0
Liter 451423,6,660.0
Liter 451226,6,660.0
Liter 442030,3,660.0
Liter 431426,6,660.0
Liter 422228,3,660.0
Liter 401524,6,660.0
Liter 552426,2,660.0
Liter 541015,12,660.0
Liter 501225,6,660.0
Liter 652223,2,660.0
Liter 601025,6,660.0
Liter 801228,3,660.0
Liter 242530,5,650.0
Liter 301323,10,650.0
Liter 521228,5,650.0
Liter 511328,5,650.0
Liter 601125,5,650.0
Liter 601214,10,650.0
Liter 601115,10,650.0
Liter 601114,10,650.0
Liter 902530,1,650.0
Liter 852730,1,650.0
Liter 803030,1,650.0
Liter 802830,1,650.0
Liter 102428,1,650.0
Liter 952527,1,650.0
Liter 112527,1,650.0
Liter 352525,4,640.0
Liter 351521,8,640.0
Liter 351520,8,640.0
Liter 351423,8,640.0
Liter 351420,8,640.0
Liter 351325,8,640.0
Liter 351230,8,640.0
Liter 351225,8,640.0
Liter 351315,16,640.0
Liter 341427,8,640.0
Liter 322224,4,640.0
Liter 301525,8,640.0
Liter 301515,16,640.0
Liter 552622,2,640.0
Liter 552230,2,640.0
Liter 502230,2,640.0
Liter 651515,8,640.0
Liter 622030,2,640.0
Liter 602526,2,640.0
Liter 701522,4,640.0
Liter 701420,4,640.0
Liter 701225,4,640.0
Liter 701125,4,640.0
Liter 331222,9,630.0
Liter 321322,9,630.0
Liter 451421,6,630.0
Liter 430927,9,630.0
Liter 421224,7,630.0
Liter 420828,9,630.0
Liter 401226,7,630.0
Liter 400929,9,630.0
Liter 400927,9,630.0
Liter 400926,9,630.0
Liter 400925,9,630.0
Liter 601013,15,630.0
Liter 753030,1,630.0
Liter 801225,3,630.0
Liter 311013,27,621.0
Liter 902430,1,610.0
Liter 281221,10,600.0
Liter 361122,8,600.0
Liter 322328,4,600.0
Liter 302228,4,600.0
Liter 301321,10,600.0
Liter 301125,10,600.0
Liter 301315,20,600.0
Liter 301215,20,600.0
Liter 452323,3,600.0
Liter 451730,3,600.0
Liter 451522,6,600.0
Liter 451225,6,600.0
Liter 422525,3,600.0
Liter 422222,3,600.0
Liter 422122,3,600.0
Liter 422030,3,600.0
Liter 402030,3,600.0
Liter 401522,6,600.0
Liter 551423,5,600.0
Liter 551323,5,600.0
Liter 551414,10,600.0
Liter 551215,10,600.0
Liter 551013,15,600.0
Liter 542623,2,600.0
Liter 541110,15,600.0
Liter 531529,4,600.0
Liter 531522,4,600.0
Liter 522328,2,600.0
Liter 512521,2,600.0
Liter 512328,2,600.0
Liter 502622,2,600.0
Liter 502530,2,600.0
Liter 502128,2,600.0
Liter 501525,4,600.0
Liter 501223,6,600.0
Liter 501028,6,600.0
Liter 501026,6,600.0
Liter 500930,6,600.0
Liter 500929,6,600.0
Liter 500830,6,600.0
Liter 501215,12,600.0
Liter 501115,12,600.0
Liter 501114,12,600.0
Liter 501015,12,600.0
Liter 500915,12,600.0
Liter 652126,2,600.0
Liter 651120,4,600.0
Liter 641727,2,600.0
Liter 641724,2,600.0
Liter 621727,2,600.0
Liter 602525,2,600.0
Liter 602425,2,600.0
Liter 602030,2,600.0
Liter 602028,2,600.0
Liter 601730,2,600.0
Liter 601522,4,600.0
Liter 601225,5,600.0
Liter 601223,5,600.0
Liter 601113,10,600.0
Liter 751229,4,600.0
Liter 722530,1,600.0
Liter 702026,2,600.0
Liter 702025,2,600.0
Liter 701323,4,600.0
Liter 701128,4,600.0
Liter 832530,1,600.0
Liter 802730,1,600.0
Liter 802729,1,600.0
Liter 802530,1,600.0
Liter 801530,2,600.0
Liter 801325,3,600.0
Liter 102626,1,600.0
Liter 102525,1,600.0
Liter 102430,1,600.0
Liter 102228,1,600.0
Liter 112229,1,600.0
Liter 202430,7,595.0
Liter 430929,9,585.0
Liter 430928,9,585.0
Liter 401025,9,585.0
Liter 552030,2,580.0
Liter 502826,2,580.0
Liter 731126,4,580.0
Liter 701224,4,580.0
Liter 112525,1,580.0
Liter 511223,5,575.0
Liter 261325,11,572.0
Liter 451520,6,570.0
Liter 451519,6,570.0
Liter 402127,3,570.0
Liter 500928,6,570.0
Liter 500829,6,570.0
Liter 651022,6,570.0
Liter 601024,6,570.0
Liter 600912,15,570.0
Liter 361225,8,560.0
Liter 351213,16,560.0
Liter 321524,8,560.0
Liter 321522,8,560.0
Liter 302030,4,560.0
Liter 302028,4,560.0
Liter 401421,7,560.0
Liter 401225,7,560.0
Liter 401222,7,560.0
Liter 401220,7,560.0
Liter 401124,7,560.0
Liter 401215,14,560.0
Liter 401214,14,560.0
Liter 521730,2,560.0
Liter 652525,2,560.0
Liter 651730,2,560.0
Liter 651630,2,560.0
Liter 651112,8,560.0
Liter 641730,2,560.0
Liter 611522,4,560.0
Liter 601520,4,560.0
Liter 783030,1,560.0
Liter 701728,2,560.0
Liter 701421,4,560.0
Liter 701115,8,560.0
Liter 101525,2,560.0
Liter 252030,5,550.0
Liter 301419,10,550.0
Liter 301225,10,550.0
Liter 551214,10,550.0
Liter 551114,10,550.0
Liter 522028,2,550.0
Liter 521225,5,550.0
Liter 601220,5,550.0
Liter 753028,1,550.0
Liter 722830,1,550.0
Liter 852626,1,550.0
Liter 852529,1,550.0
Liter 852528,1,550.0
Liter 842528,1,550.0
Liter 802528,1,550.0
Liter 982030,1,550.0
Liter 420813,21,546.0
Liter 401223,7,546.0
Liter 231024,18,540.0
Liter 221021,18,540.0
Liter 352323,4,540.0
Liter 350826,12,540.0
Liter 311222,9,540.0
Liter 301022,12,540.0
Liter 461730,3,540.0
Liter 451323,6,540.0
Liter 451213,12,540.0
Liter 450815,18,540.0
Liter 402028,3,540.0
Liter 400824,9,540.0
Liter 552225,2,540.0
Liter 502525,2,540.0
Liter 501023,6,540.0
Liter 501011,18,540.0
Liter 602025,2,540.0
Liter 601927,2,540.0
Liter 781419,3,540.0
Liter 112425,1,540.0
Liter 782730,1,530.0
Liter 421730,3,525.0
Liter 600812,15,525.0
Liter 600811,15,525.0
Liter 352025,4,520.0
Liter 351729,4,520.0
Liter 351626,4,520.0
Liter 342323,4,520.0
Liter 322025,4,520.0
Liter 301522,8,520.0
Liter 551521,4,520.0
Liter 521522,4,520.0
Liter 502028,2,520.0
Liter 751530,2,520.0
Liter 751418,4,520.0
Liter 701222,4,520.0
Liter 102426,1,520.0
Liter 102029,1,520.0
Liter 401730,3,510.0
Liter 501419,6,510.0
Liter 501221,6,510.0
Liter 501121,6,510.0
Liter 501024,6,510.0
Liter 601020,6,510.0
Liter 451313,12,504.0
Liter 261522,10,500.0
Liter 551419,5,500.0
Liter 551212,10,500.0
Liter 531221,5,500.0
Liter 531220,5,500.0
Liter 512030,2,500.0
Liter 502030,2,500.0
Liter 502029,2,500.0
Liter 652024,2,500.0
Liter 651518,4,500.0
Liter 602323,2,500.0
Liter 601419,5,500.0
Liter 732530,1,500.0
Liter 701723,2,500.0
Liter 902528,1,500.0
Liter 902525,1,500.0
Liter 902228,1,500.0
Liter 902030,1,500.0
Liter 882228,1,500.0
Liter 862528,1,500.0
Liter 862030,1,500.0
Liter 852526,1,500.0
Liter 852030,1,500.0
Liter 842826,1,500.0
Liter 832528,1,500.0
Liter 802527,1,500.0
Liter 802525,1,500.0
Liter 802424,1,500.0
Liter 101929,1,500.0
Liter 962030,1,500.0
Liter 450825,9,495.0
Liter 450824,9,495.0
Liter 401020,9,495.0
Liter 202222,7,490.0
Liter 202221,7,490.0
Liter 401221,7,490.0
Liter 712827,1,485.0
Liter 292125,4,480.0
Liter 251320,12,480.0
Liter 221525,12,480.0
Liter 351730,4,480.0
Liter 351223,8,480.0
Liter 351220,8,480.0
Liter 351019,12,480.0
Liter 341921,4,480.0
Liter 301730,4,480.0
Liter 451827,3,480.0
Liter 451628,3,480.0
Liter 451419,6,480.0
Liter 402322,3,480.0
Liter 402024,3,480.0
Liter 551728,2,480.0
Liter 551522,4,480.0
Liter 551015,12,480.0
Liter 531015,12,480.0
Liter 512222,2,480.0
Liter 501220,6,480.0
Liter 501219,6,480.0
Liter 501020,6,480.0
Liter 652021,2,480.0
Liter 622025,2,480.0
Liter 701120,4,480.0
Liter 902029,1,480.0
Liter 252225,5,475.0
Liter 521222,5,475.0
Liter 552025,2,460.0
Liter 551927,2,460.0
Liter 512323,2,460.0
Liter 512028,2,460.0
Liter 501921,2,460.0
Liter 771930,1,460.0
Liter 751220,4,460.0
Liter 702020,2,460.0
Liter 701725,2,460.0
Liter 701220,4,460.0
Liter 401324,7,455.0
Liter 401123,7,455.0
Liter 282022,5,450.0
Liter 281728,5,450.0
Liter 262030,5,450.0
Liter 251730,5,450.0
Liter 251015,30,450.0
Liter 243024,5,450.0
Liter 152517,9,450.0
Liter 331614,9,450.0
Liter 301418,10,450.0
Liter 452023,3,450.0
Liter 451219,6,450.0
Liter 451020,9,450.0
Liter 450920,9,450.0
Liter 431720,3,450.0
Liter 420815,18,450.0
Liter 402025,3,450.0
Liter 401019,9,450.0
Liter 400922,9,450.0
Liter 551213,10,450.0
Liter 551011,15,450.0
Liter 521011,15,450.0
Liter 501022,6,450.0
Liter 601219,5,450.0
Liter 601218,5,450.0
Liter 601112,10,450.0
Liter 762526,1,450.0
Liter 761229,3,450.0
Liter 761013,9,450.0
Liter 752528,1,450.0
Liter 752527,1,450.0
Liter 732922,1,450.0
Liter 722728,1,450.0
Liter 902426,1,450.0
Liter 901417,3,450.0
Liter 852425,1,450.0
Liter 802030,1,450.0
Liter 951730,1,450.0
Liter 111927,1,450.0
Liter 111825,1,450.0
Liter 271414,22,440.0
Liter 322225,4,440.0
Liter 302323,4,440.0
Liter 302025,4,440.0
Liter 301828,4,440.0
Liter 301728,4,440.0
Liter 301520,8,440.0
Liter 301519,8,440.0
Liter 551730,2,440.0
Liter 601726,2,440.0
Liter 601725,2,440.0
Liter 601519,4,440.0
Liter 751525,2,440.0
Liter 751524,2,440.0
Liter 701626,2,440.0
Liter 521112,10,430.0
Liter 762030,1,430.0
Liter 262022,5,425.0
Liter 261627,5,425.0
Liter 251928,5,425.0
Liter 242025,5,425.0
Liter 222025,6,420.0
Liter 202020,7,420.0
Liter 201520,14,420.0
Liter 461417,6,420.0
Liter 451417,6,420.0
Liter 451220,6,420.0
Liter 401630,3,420.0
Liter 401219,7,420.0
Liter 400912,21,420.0
Liter 502124,2,420.0
Liter 501927,2,420.0
Liter 501830,2,420.0
Liter 501417,6,420.0
Liter 500527,12,420.0
Liter 651822,2,420.0
Liter 651123,4,420.0
Liter 752327,1,420.0
Liter 732521,1,420.0
Liter 851522,2,420.0
Liter 822030,1,420.0
Liter 961924,1,420.0
Liter 801522,2,410.0
Liter 102320,1,410.0
Liter 501112,12,408.0
Liter 360919,9,405.0
Liter 321417,9,405.0
Liter 321119,9,405.0
Liter 351624,4,400.0
Liter 351915,8,400.0
Liter 351219,8,400.0
Liter 341114,16,400.0
Liter 322022,4,400.0
Liter 321730,4,400.0
Liter 301723,4,400.0
Liter 301221,10,400.0
Liter 551520,4,400.0
Liter 551416,5,400.0
Liter 551113,10,400.0
Liter 551111,10,400.0
Liter 532025,2,400.0
Liter 502224,2,400.0
Liter 502025,2,400.0
Liter 501728,2,400.0
Liter 501630,2,400.0
Liter 501520,4,400.0
Liter 501518,4,400.0
Liter 652123,2,400.0
Liter 651826,2,400.0
Liter 601111,10,400.0
Liter 782030,1,400.0
Liter 772030,1,400.0
Liter 752228,1,400.0
Liter 752030,1,400.0
Liter 702120,2,400.0
Liter 702019,2,400.0
Liter 902323,1,400.0
Liter 902025,1,400.0
Liter 902024,1,400.0
Liter 902023,1,400.0
Liter 851730,1,400.0
Liter 802526,1,400.0
Liter 801830,1,400.0
Liter 801730,1,400.0
Liter 102323,1,400.0
Liter 932323,1,400.0
Liter 922025,1,400.0
Liter 451113,12,396.0
Liter 251019,15,390.0
Liter 231123,13,390.0
Liter 221320,13,390.0
Liter 211627,6,390.0
Liter 401120,7,385.0
Liter 401119,7,385.0
Liter 301925,4,380.0
Liter 502024,2,380.0
Liter 501923,2,380.0
Liter 652020,2,380.0
Liter 622020,2,380.0
Liter 602020,2,380.0
Liter 701317,4,380.0
Liter 852023,1,380.0
Liter 831730,1,380.0
Liter 802028,1,380.0
Liter 331217,9,378.0
Liter 282018,5,375.0
Liter 252025,5,375.0
Liter 191320,15,375.0
Liter 421724,3,375.0
Liter 221828,6,372.0
Liter 651818,2,370.0
Liter 251212,24,360.0
Liter 241825,5,360.0
Liter 231815,12,360.0
Liter 360820,9,360.0
Liter 351824,4,360.0
Liter 351623,4,360.0
Liter 351120,8,360.0
Liter 350812,24,360.0
Liter 302022,4,360.0
Liter 451725,3,360.0
Liter 451218,6,360.0
Liter 441217,6,360.0
Liter 441119,6,360.0
Liter 422119,3,360.0
Liter 420919,9,360.0
Liter 420917,9,360.0
Liter 412318,3,360.0
Liter 402222,3,360.0
Liter 402120,3,360.0
Liter 401725,3,360.0
Liter 401517,6,360.0
Liter 401017,9,360.0
Liter 400920,9,360.0
Liter 502821,2,360.0
Liter 501517,4,360.0
Liter 501218,6,360.0
Liter 501217,6,360.0
Liter 611724,2,360.0
Liter 601722,2,360.0
Liter 701820,2,360.0
Liter 901728,1,360.0
Liter 851520,2,360.0
Liter 821730,1,360.0
Liter 801520,2,360.0
Liter 801023,3,360.0
Liter 262717,5,350.0
Liter 142817,10,350.0
Liter 401322,7,350.0
Liter 792024,1,350.0
Liter 762323,1,350.0
Liter 752624,1,350.0
Liter 731727,1,350.0
Liter 852025,1,350.0
Liter 852024,1,350.0
Liter 851630,1,350.0
Liter 802025,1,350.0
Liter 541823,2,340.0
Liter 521725,2,340.0
Liter 651622,2,340.0
Liter 402020,3,330.0
Liter 751830,1,330.0
Liter 852222,1,330.0
Liter 801626,1,330.0
Liter 101626,1,330.0
Liter 121820,1,330.0
Liter 121720,1,330.0
Liter 221220,13,325.0
Liter 151025,27,324.0
Liter 151020,27,324.0
Liter 351121,8,320.0
Liter 341117,8,320.0
Liter 302020,4,320.0
Liter 301821,4,320.0
Liter 301820,4,320.0
Liter 301518,8,320.0
Liter 651118,4,320.0
Liter 822024,1,320.0
Liter 802027,1,320.0
Liter 801517,2,320.0
Liter 202817,7,315.0
Liter 361720,3,315.0
Liter 400822,9,315.0
Liter 662018,2,310.0
Liter 601622,2,310.0
Liter 281622,5,300.0
Liter 241624,5,300.0
Liter 201115,30,300.0
Liter 301218,10,300.0
Liter 301016,12,300.0
Liter 461119,6,300.0
Liter 401622,3,300.0
Liter 621819,2,300.0
Liter 751520,2,300.0
Liter 871518,2,300.0
Liter 101920,1,300.0
Liter 161825,8,296.0
Liter 202018,7,294.0
Liter 852022,1,290.0
Liter 802022,1,290.0
Liter 502020,2,280.0
Liter 762022,1,280.0
Liter 541116,5,275.0
Liter 902020,1,270.0
Liter 161823,8,264.0
Liter 501621,2,260.0
Liter 732025,1,260.0
Liter 801823,1,260.0
Liter 241620,5,250.0
Liter 752020,1,250.0
Liter 191622,7,245.0
Liter 311817,4,240.0
Liter 500522,12,240.0
Liter 831517,2,240.0
Liter 802020,1,240.0
Liter 801921,1,240.0
Liter 831723,1,230.0
Liter 250816,15,225.0
Liter 522125,2,220.0
Liter 701717,2,220.0
Liter 901720,1,220.0
Liter 851721,1,220.0
Liter 801826,1,220.0
Liter 451717,3,210.0
Liter 801920,1,210.0
Liter 521816,2,200.0
Liter 601717,2,200.0
Liter 801622,1,200.0
Liter 801621,1,200.0
Liter 612026,2,190.0
Liter 291718,4,180.0
Liter 221620,6,180.0
Liter 221619,6,180.0
Liter 721819,1,170.0
Liter 801620,1,160.0
Liter 951617,1,120.0
